,industry,fav_course,least_fav_course,numbers,Analytics,PublicSpeaking,CorporateStrategy,FinancialLiteracy,Management/Leadership,Entrepreneurship,AssetManagement/SalesandTrading,BusinessAnalytics,BusinessDevelopmentandGrowth,CorporateFinance/InvestmentBanking,CorporateInnovation,GlobalBusiness,InnovationForSustainability,Marketing,StrategyConsulting,SupplyChainManagement,ManagementScienceSpecialization,None,Global Client Projects  - J-term  Part II,Leadership and Cultures of Trust & Innovation  (January one-week course),CEO Leadership in the 21st Century,Software Development,"Disruption, Response, and Transformation ",Taxation and Management Decisions,Management Planning and Control Systems,Speaking about Business,Tactical Topics for Entrepreneurship Through Acquisition,Starting New Ventures,Venture Capital,Valuation in Financial Markets,Corporate Financial Policies,Derivative Securities: Options and Futures,Entrepreneurial Finance and Private Equity,Applied Security Analysis,Managing International Trade and Investments,Growth and Business in Emerging Markets,Global Economics of Water,Leadership Learning Lab,Negotiations,Digital Marketing,Pricing,Building and Leading a Professional Sales Force,Data Visualization and Analytics,Software Design,Digital Product Management,Reading Seminar in Management I,Managing Sustainability from the Inside Out,East-West Strategy Seminar,Competitive Dynamics,General Management and Operational Effectiveness,Second Year Coaching and Career Education (Part 1),Mayo Center Reading Seminar: PART I: Discretionary Asset Managers,Maximizing Leadership Potential  in Sports and Business,Venture Velocity,Due Diligence in Seed Funds,Core 2.0-Capstone Seminar,Leading with Presence in Health Care,Communicating Financial and Sustainability Performance,Telling Financial Stories,Storytelling with Data,Character Traits and Success,Darden Capital Management Part I,Acquisition of Closely-Held Enterprises,Introduction to Real Estate Finance and Development,FinTech,Managerial Finance,International Corporate Finance,Investments,Financial Trading,"Markets, Government, and Society",Global Industry Economics,The Economics of Money and Banking,Reading Seminar Global Competition,Challenges in Health Care: A System Overview,Introduction to Business Law,Global Client Projects - Fall  Part I,Defining Moments,Business Ethics Through Literature,Ultimate Questions: Responsible Management and Value in Business,Prototyping and Product Development I,Operations Strategy,Data Science in Business,Project Management,Reading Seminar in Management II,Reading Seminar in Management III: Thomas Jefferson,Ambicultural Strategy,Strategy Execution,"Thinking of a Master Plan: Non-Profit Management, Metrics & Impact Making in the Field",Cases in Global Strategy Seminar,Financial Statement Analysis,Using Design Principles to Design Your Career,Philosophy and Business: Business in Society,Quantitative Portfolio Management,Corporate Financing,Mergers and Acquisitions,Global Financial Markets,Transforming Societies,China in the World Economy,Business-Government Relations,General Managers Taking Action,Solutions and Innovations in Health Care,Understanding the Nonprofit Sector,Sustainability and Business Law,Business and Climate Change,Leadership and Innovation in Education,Leadership Communication During Times of Disruption and Transformation,"Brand Management: Creating, Testing, and Analyzing New Brand Strategies ",Experiments and Causal Analytics  ,Digital Capstone,Pricing Analytics,Strategic Corporate Governance,Leading in Uncertainty and Crisis,Strategy in the Digital Age,Digital Operations,Managing Innovation  ,Second Year Coaching and Career Education (Part 2),Mayo Center Reading Seminar: PART II: Quantitative Asset Managers,Mead Liberal Arts Seminar,Due Diligence in Seed Funds  Part II,Financial Crises and Civic Reaction,Innovation and Design Experience,Global Client Projects Spring Part III,Leadership Ride: Lesson in Leadership - Gettysburg,Corporate Strategic Leadership: Major Concepts from Strategy Consulting,Taxation of Mergers and Acquisitions,Managing Conflict & Leveraging Consensus,Darden Capital Management Part II,Effectual Entrepreneurship,Cybersecurity & Privacy,"Technology Innovation, Entrepreneurship & Policy ",Societal Issues in Business,Hot Topics in Real Estate,Hot Topics in Finance,Impact & ESG  Investing,Corporate Financial Restructuring,India in the World Economy,Global Collaboration in an Uncertain World:  The Role of Washington DC Institutions,Leadership When it Really Counts,Collaboration Lab,"Leadership, Diversity and Leveraging Difference",Leadership Coaching,Critical and Creative Thinking in Business,Marketing Leadership,Hot Topics in Marketing,The Business of Media and Entertainment,Emerging Topics in Technology & Operations Management,Behavioral Decision Making,Hot Topics in Analytics,Corporate Strategy,The Consulting Process,Sustainable Global Value Chains
0,Technology,Decision Analysis,Accounting,Strongly Agree,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,Technology,Marketing,Ethics,Disagree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Health Care,Economics,Accounting,Strongly Agree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Technology,Strategy,Accounting,Neither Agree Nor Disagree,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Retail,Ethics,Leading Organizations,Strongly Disagree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,Financial Services,Economics,Accounting,Neither Agree Nor Disagree,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Technology,Strategy,Accounting,Strongly Agree,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,Technology,Ethics,Finance,Agree,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8,Financial Services,Economics,Marketing,Strongly Agree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Health Care,Ethics,Operations,Strongly Disagree,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
